match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.country.id,home_team.country.name,home_team.managers,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.country.id,away_team.country.name,away_team.managers,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name
22912,2019-06-01,21:00:00.000,0,2,available,scheduled,2022-11-28T14:45:35.628134,2021-06-13T16:17:31.694,13,16,Europe,Champions League,4,2018/2019,38,Tottenham Hotspur,male,,68,England,"[{'id': 81, 'name': 'Mauricio Roberto Pochettino Trossero', 'nickname': 'Mauricio Pochettino', 'dob': '1972-03-02', 'country': {'id': 11, 'name': 'Argentina'}}]",24,Liverpool,male,,68,England,"[{'id': 94, 'name': 'Jürgen Klopp', 'nickname': None, 'dob': '1967-06-16', 'country': {'id': 85, 'name': 'Germany'}}]",1.1.0,2,2,26,Final,4654,	Estádio Cívitas Metropolitano,214,Spain,420.0,Damir Skomina,208.0,Slovenia
18245,2018-05-26,20:45:00.000,3,1,available,scheduled,2021-01-23T21:55:30.425330,2021-06-13T16:17:31.694,7,16,Europe,Champions League,1,2017/2018,220,Real Madrid,male,,214,Spain,"[{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': '1972-06-23', 'country': {'id': 78, 'name': 'France'}}]",24,Liverpool,male,,68,England,"[{'id': 94, 'name': 'Jürgen Klopp', 'nickname': None, 'dob': '1967-06-16', 'country': {'id': 85, 'name': 'Germany'}}]",1.1.0,2,2,26,Final,4222,NSK Olimpiyskyi,238,Ukraine,727.0,Milorad Mažić,203.0,Serbia
18244,2017-06-03,20:45:00.000,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,7,16,Europe,Champions League,2,2016/2017,224,Juventus,male,,112,Italy,"[{'id': 181, 'name': 'Massimiliano Allegri', 'nickname': None, 'dob': '1967-08-11', 'country': {'id': 112, 'name': 'Italy'}}]",220,Real Madrid,male,,214,Spain,"[{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': '1972-06-23', 'country': {'id': 78, 'name': 'France'}}]",1.0.3,,,26,Final,113891,Principality Stadium,249,Wales,186.0,Felix Brych,85.0,Germany
18243,2016-05-28,20:45:00.000,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,16,Europe,Champions League,27,2015/2016,220,Real Madrid,male,,214,Spain,"[{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': '1972-06-23', 'country': {'id': 78, 'name': 'France'}}]",212,Atlético Madrid,male,,214,Spain,"[{'id': 230, 'name': 'Diego Pablo Simeone', 'nickname': 'Diego Simeone', 'dob': '1970-04-28', 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.3,,,26,Final,388,Stadio Giuseppe Meazza    ,112,Italy,728.0,Mark Clattenburg,68.0,England
18242,2015-06-06,20:45:00.000,1,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,16,Europe,Champions League,26,2014/2015,224,Juventus,male,,112,Italy,"[{'id': 181, 'name': 'Massimiliano Allegri', 'nickname': None, 'dob': '1967-08-11', 'country': {'id': 112, 'name': 'Italy'}}]",217,Barcelona,male,,214,Spain,"[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}]",1.0.3,,,26,Final,367,Olympiastadion Berlin,85,Germany,581.0,Cüneyt Çakιr,233.0,Turkey
18241,2014-05-24,20:45:00.000,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,16,Europe,Champions League,25,2013/2014,220,Real Madrid,male,,214,Spain,"[{'id': 414, 'name': 'Carlo Ancelotti', 'nickname': None, 'dob': '1959-06-10', 'country': {'id': 112, 'name': 'Italy'}}]",212,Atlético Madrid,male,,214,Spain,"[{'id': 230, 'name': 'Diego Pablo Simeone', 'nickname': 'Diego Simeone', 'dob': '1970-04-28', 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.3,,,26,Final,611,Estádio do Sport Lisboa e Benfica,183,Portugal,287.0,Björn Kuipers,160.0,Netherlands
18240,2013-05-25,20:45:00.000,1,2,available,scheduled,2021-07-10T13:41:45.751,2021-06-13T16:17:31.694,1,16,Europe,Champions League,24,2012/2013,180,Borussia Dortmund,male,,85,Germany,"[{'id': 94, 'name': 'Jürgen Klopp', 'nickname': None, 'dob': '1967-06-16', 'country': {'id': 85, 'name': 'Germany'}}]",169,Bayern Munich,male,,85,Germany,"[{'id': 444, 'name': 'Josef Heynckes', 'nickname': None, 'dob': '1945-05-09', 'country': {'id': 85, 'name': 'Germany'}}]",1.0.3,,,26,Final,4666,Wembley Stadium,68,England,419.0,Nicola Rizzoli,112.0,Italy
18237,2012-05-19,20:45:00.000,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,16,Europe,Champions League,23,2011/2012,169,Bayern Munich,male,,85,Germany,"[{'id': 444, 'name': 'Josef Heynckes', 'nickname': None, 'dob': '1945-05-09', 'country': {'id': 85, 'name': 'Germany'}}]",33,Chelsea,male,,68,England,"[{'id': 789, 'name': 'Roberto Di Matteo', 'nickname': None, 'dob': '1970-05-29', 'country': {'id': 112, 'name': 'Italy'}}]",1.0.3,,,26,Final,4867,Allianz Arena,85,Germany,717.0,Pedro Proença,183.0,Portugal
18236,2011-05-28,20:45:00.000,3,1,available,scheduled,2022-01-26T21:07:11.033473,2021-06-13T16:17:31.694,1,16,Europe,Champions League,22,2010/2011,217,Barcelona,male,,214,Spain,"[{'id': 36, 'name': 'Josep Guardiola i Sala', 'nickname': 'Pep Guardiola', 'dob': '1971-01-18', 'country': {'id': 214, 'name': 'Spain'}}]",39,Manchester United,male,,68,England,"[{'id': 790, 'name': 'Alex Ferguson', 'nickname': None, 'dob': '1941-12-31', 'country': {'id': 201, 'name': 'Scotland'}}]",1.0.3,,,26,Final,4666,Wembley Stadium,68,England,449.0,Viktor Kassai,103.0,Hungary
18235,2010-05-22,20:45:00.000,0,2,available,scheduled,2022-11-15T17:26:10.871011,2021-06-13T16:17:31.694,1,16,Europe,Champions League,21,2009/2010,169,Bayern Munich,male,,85,Germany,"[{'id': 788, 'name': 'Louis van Gaal', 'nickname': None, 'dob': '1951-08-08', 'country': {'id': 160, 'name': 'Netherlands'}}]",238,Inter Milan,male,,112,Italy,"[{'id': 383, 'name': 'José Mario Felix dos Santos Mourinho', 'nickname': 'José Mourinho', 'dob': '1963-01-26', 'country': {'id': 183, 'name': 'Portugal'}}]",1.0.3,,,26,Final,353,Estadio Santiago Bernabéu,214,Spain,708.0,Howard Webb,68.0,England
