ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.4544,,,,,,,,,,,,,ee0f3c20-c08a-47fc-b4fb-77f71daa552b,15,,"[55.9, 5.0]",265963,0,,,,2.520528,,Left Foot,,,,"[44.3, 13.3]",,Ground Pass,,14.26359,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['9541e69f-b320-4f7f-97fa-20c858545a89'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.216,Pass,,2014/2015
,,,,,,,,,,,,,,,1.7059,,,,,,,,,,,,,f4b30b12-44b9-40b8-b775-99d976bc5b74,18,,"[44.3, 14.0]",265963,0,,,,1.6917224,,Left Foot,,,,"[39.5, 53.5]",,Ground Pass,,39.790577,,,Marc Bartra Aregall,7068.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['ca57f03a-b755-41c1-815b-d56264269d99'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.511,Pass,,2014/2015
,,,,,,,,,,,,,,,1.043679,,,,,,,,,,,,,587c0ecc-d374-40e9-b485-a3cd6f477624,21,,"[40.7, 54.0]",265963,0,,,,0.95276743,,Right Foot,,,,"[49.8, 66.8]",,Ground Pass,,15.705094,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,Barcelona,217,['e0dda100-180f-4c62-9b7d-cb19bbb35ab2'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.255,Pass,,2014/2015
,,,,,,,,,,,,,,,1.106375,,,,,,,,,,,,,31aee8db-f000-4e00-add6-1418e627114e,29,,"[67.3, 0.1]",265963,0,,,,1.5707964,,,,,,"[67.3, 10.1]",,Low Pass,,10.0,,,Mehdi Lacen,6745.0,,,,,Throw-in,1,From Throw In,Roberto Lago Soto,27054.0,Left Back,4,Getafe,216,['e0b8b3f1-b353-42c6-93b9-d146543d237b'],26,,,,,,,,,,,,,,,,,Getafe,216,00:00:26.625,Pass,,2014/2015
,,,,,,,,,,,,,,,0.556386,,,,,,,,,,,,,d8075ee6-306f-45be-8438-bccbb977feec,33,,"[66.1, 9.7]",265963,0,,,,-1.5707964,,Left Foot,,,,"[66.1, 2.9]",,Low Pass,,6.8,,,Roberto Lago Soto,27054.0,,,,,,1,From Throw In,Mehdi Lacen,6745.0,Right Defensive Midfield,4,Getafe,216,"['141b0c0e-3227-44b4-9822-1ac048c08f93', '85470085-428c-4fa3-8c40-6353ab1c27e4']",28,,,,,,,,,,,,,,,,,Getafe,216,00:00:28.744,Pass,True,2014/2015
,,,,,,,,,,,,,,,1.0348,,,,,,,,,,,,,96fe56f6-f5c8-4bc6-9438-0f1ae60e2014,36,,"[66.1, 2.9]",265963,0,,,,0.93271035,,Left Foot,,,,"[72.7, 11.8]",,Low Pass,,11.080162,,,Papa Babacar Diawara,27112.0,,,,,,1,From Throw In,Roberto Lago Soto,27054.0,Left Back,4,Getafe,216,['32700977-eb57-48d8-8445-24bc03436a04'],29,,,,,,,,,,,,,,,,,Getafe,216,00:00:29.380,Pass,,2014/2015
,,,,,,,,,,,,,,,1.0683,,,,,,,,,,,,,caf160a5-360f-43dd-a8f5-165408a3725d,40,,"[72.7, 11.3]",265963,0,,,,2.6011732,,Right Foot,,,,"[65.7, 15.5]",,Low Pass,,8.163333,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,,1,From Throw In,Papa Babacar Diawara,27112.0,Center Forward,4,Getafe,216,['79450725-5ae9-475c-ad8a-997b15e29869'],30,,,,,,,,,,,,,,,,,Getafe,216,00:00:30.535,Pass,,2014/2015
,,,,,,,,,,,,,,,1.075177,,,,,,,,,,,,,a32611ea-bf51-4a38-b66e-a12093bae38f,43,,"[66.2, 16.2]",265963,0,,,,0.5971767,,Left Foot,,,,"[71.2, 19.6]",,Ground Pass,,6.0464864,,,Papa Babacar Diawara,27112.0,,,,,,1,From Throw In,Juan Antonio Rodríguez Villamuela,25881.0,Left Defensive Midfield,4,Getafe,216,"['d261f735-6b82-4937-90e6-f3c2f4f71ce8', 'f66645dd-8a1d-43c9-a3dc-c8943f542c97']",31,,,,,,,,,,,,,,,,,Getafe,216,00:00:31.603,Pass,True,2014/2015
,,,,,,,,,,,,,,,0.865685,,,,,,,,,,,,,d2d993e8-9b28-4e77-9c30-2b913e25a554,46,,"[71.0, 30.2]",265963,0,,,,2.1314833,,Right Foot,,,,"[65.6, 38.8]",,Low Pass,,10.154801,Incomplete,,Álvaro Arroyo Martínez,24506.0,,,,,,1,From Throw In,Papa Babacar Diawara,27112.0,Center Forward,4,Getafe,216,"['06bbcdcd-142f-4f85-a0fb-ba666aecda1d', '3b6636be-9218-41fb-b43c-b82588cce5af']",33,,,,,,,,,,,,,,,,,Getafe,216,00:00:33.485,Pass,,2014/2015
,,,,,,,,,,,,,,,0.3651,,,,,,,,,,,,,e9a6b20b-6082-4195-bada-b52e549ffdd2,51,,"[53.6, 29.9]",265963,0,,,,1.7347255,,Right Foot,,,,"[51.4, 43.2]",,Low Pass,,13.480727,Incomplete,,Álvaro Arroyo Martínez,24506.0,,,,,,1,From Throw In,Alexis Ruano Delgado,6614.0,Left Center Back,4,Getafe,216,"['0f0598dd-5d9c-4f3f-808a-a2af7c1c3ca1', '43905a53-8bd5-4249-b5a6-1f430cba5671']",38,,,,,,,,,,,,,,,,,Getafe,216,00:00:38.619,Pass,,2014/2015
,,,,,,,,,,,,,,,1.411365,,,,,,,,,,,,,4a87d7dc-0cf0-49b6-a0dd-2330d7424a94,59,,"[95.3, 80.0]",265963,0,,,,-1.2360595,,,,,,"[97.7, 73.1]",,Low Pass,,7.3054776,,,Pedro León Sánchez Gil,6907.0,,,,,Throw-in,1,From Throw In,Álvaro Arroyo Martínez,24506.0,Right Back,5,Getafe,216,['81c21d5b-8f3a-4714-823f-94f287041050'],59,,,,,,,,,,,,,,,,,Getafe,216,00:00:59.419,Pass,,2014/2015
,,,,,,,,,,,,,,,0.65523,,,,,,,,,,,,,cee5630b-209d-450e-8de8-262dd04dfb73,63,,"[97.7, 74.1]",265963,1,,,,0.96299434,,Right Foot,,,,"[100.9, 78.7]",,Ground Pass,,5.6035705,Out,,Álvaro Arroyo Martínez,24506.0,,,,,,1,From Throw In,Pedro León Sánchez Gil,6907.0,Right Wing,5,Getafe,216,"['d128e904-ae5c-47b2-aa43-04ebbad94494', 'f16005b0-e164-4aca-a748-09e29f50b768']",1,,,,,,,,,,,,,,,,,Getafe,216,00:01:01.015,Pass,True,2014/2015
,,,,,,,,,,,,,,,0.7047,,,,,,,,,,,,,7315f76b-e981-4ec6-8d44-310387ad4025,66,,"[19.4, 0.1]",265963,1,True,,,1.9167635,,,,,,"[13.2, 17.3]",,Low Pass,,18.283325,,,Jérémy Mathieu,10609.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,6,Barcelona,217,['70cc1127-e1e2-4a87-9b49-a96fd96619ba'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.566,Pass,,2014/2015
,,,,,,,,,,,,,,,2.0323,,,,,,,,,,,,,ca933c1f-b82c-4467-b9db-473280e1a066,68,,"[12.9, 17.4]",265963,1,,,,1.5364183,,Left Foot,,,,"[14.2, 55.2]",,Ground Pass,,37.82235,,,Marc Bartra Aregall,7068.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['31d57405-e197-4ab5-823a-87ba06b9a6b6'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.271,Pass,,2014/2015
,,,,,,,,,,,,,,,1.7828,,,,,,,,,,,,,9ab94824-85a5-44fb-9965-43e6198c6899,71,,"[26.4, 56.0]",265963,1,,,,-1.4186707,,Right Foot,,,,"[30.8, 27.3]",,Ground Pass,,29.035324,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,6,Barcelona,217,['ad147391-55e4-4669-8188-c0380e67ccc3'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.828,Pass,,2014/2015
,,,,,,,,,,,,,,,1.2105,,,,,,,,,,,,,058a2507-54b7-4e5e-8207-610cfd354be3,74,,"[39.5, 23.6]",265963,1,,,,-1.029595,,Left Foot,,,,"[50.8, 4.8]",,Ground Pass,,21.934675,,,Adriano Correia Claro,22102.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['1d6ca570-3d38-475c-a218-1b698740ab09'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.314,Pass,,2014/2015
,,,,,,,,,,,,,,,0.9243,,,,,,,,,,,,,a3d225f4-d737-410d-bf55-38f081583fb4,77,,"[50.3, 8.0]",265963,1,,,,-0.5748886,,Right Foot,,,,"[57.4, 3.4]",,Ground Pass,,8.459906,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,6,Barcelona,217,['1268c8f4-604b-4186-88bf-3448606f5bcc'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.074,Pass,,2014/2015
,,,,,,,,,,,,,,,1.8227,,,,,,,,,,,,,d56bc404-b519-4974-a002-4679fabb0db3,81,,"[62.4, 9.6]",265963,1,,,,2.0730426,,Right Foot,,,,"[41.2, 48.2]",,High Pass,,44.03862,,,Marc Bartra Aregall,7068.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['a7ae8fb0-6755-4796-b513-b200a05ee3b1'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.591,Pass,,2014/2015
,,,,,,,,,,,,,,,1.6015,,,,,,,,,,,,,fdf310b6-eb4a-4b8a-bf96-5d0d215788f1,84,,"[40.5, 51.2]",265963,1,,,,0.8317226,,Right Foot,,,,"[54.9, 67.0]",,Ground Pass,,21.377558,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,6,Barcelona,217,['b59de22d-58b4-4349-859a-b0f400a07c55'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.724,Pass,,2014/2015
,,,,,,,,,,,,,,,1.3206,,,,,,,,,,,,,e93a3dca-f788-4075-95da-ed26dfcf5db4,87,,"[55.4, 67.8]",265963,1,,,,0.521228,,Left Foot,,,,"[70.9, 76.7]",,Ground Pass,,17.873444,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['4935c4e9-4574-4d24-8bf5-437fe8b6686a'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.130,Pass,,2014/2015
,,,,,,,,,,,,,,,0.8638,,,,,,,,,,,,,15e4a174-9f37-4268-9300-c76eab6ea3d0,90,,"[71.3, 76.5]",265963,1,,,,-2.7065086,,Left Foot,,,,"[57.1, 69.9]",,Ground Pass,,15.658863,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,['566be51b-5993-4592-bb40-edcbaf9899b8'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.462,Pass,,2014/2015
,,,,,,,,,,,,,,,1.8839,,,,,,,,,,,,,8b62dcae-abe7-42d1-8fdf-9f3d951b4401,94,,"[57.6, 71.1]",265963,1,,,,-2.483081,,Right Foot,,,,"[43.9, 60.5]",,Ground Pass,,17.32195,,,Marc Bartra Aregall,7068.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,"['46de1250-0f26-4e10-85d2-250bb914321b', 'fa653aa6-5e26-4fa4-aa95-6b5aa7fa46f9']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.793,Pass,True,2014/2015
,,,,,,,,,,,,,,,1.2529,,,,,,,,,,,,,949082f2-e04b-4e65-a6b8-65bf9e088229,97,,"[54.0, 43.9]",265963,1,,,,-1.4296644,,Right Foot,,,,"[56.6, 25.6]",,Ground Pass,,18.483776,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Right Center Back,6,Barcelona,217,['8950ad73-60dc-4b85-9933-e8327b69af86'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.878,Pass,,2014/2015
,,,,,,,,,,,,,,,1.347847,,,,,,,,,,,,,1b4e03b5-55f6-470b-9a68-0841cd7e4cde,100,,"[64.8, 22.7]",265963,1,,,,-0.8550527,,Right Foot,,,,"[80.8, 4.3]",,Ground Pass,,24.3836,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,['1107c740-1dfd-4203-acc1-5a918cf8452d'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.162,Pass,,2014/2015
,,,,,,,,,,,,,,,1.123108,,,,,,,,,,,,,64c62807-d3ae-4ae6-99f9-602208d0a523,103,,"[80.8, 4.3]",265963,1,,,,-3.1098573,,Right Foot,,,,"[74.5, 4.1]",,Ground Pass,,6.303174,,,Adriano Correia Claro,22102.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['9fd6d942-2588-46e7-b458-5d5ddf546606'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.568,Pass,,2014/2015
,,,,,,,,,,,,,,,0.665652,,,,,,,,,,,,,74f8c091-d079-41e5-8b07-22f72932b2a6,106,,"[74.5, 4.1]",265963,1,,,,-0.29544082,,Left Foot,,,,"[79.1, 2.7]",,Ground Pass,,4.8083262,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,6,Barcelona,217,['4b383118-15bc-4f4d-8074-3e0c9f02b99f'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.724,Pass,,2014/2015
,,,,,,,,,,,,,,,0.986765,,,,,,,,,,,,,ded57fad-d64e-4ae9-af9d-7fc6d455f466,111,,"[76.4, 22.7]",265963,1,,,,1.0419731,,Right Foot,,,,"[86.1, 39.3]",,Ground Pass,,19.226284,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['e41174d9-12fb-4908-8a51-00eeda5c6390'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.320,Pass,,2014/2015
,,,,,,,,,,,,,,,2.036548,,,,,,,,,,,,,9199c3d2-3de1-4d41-835a-d1a26c9419f0,115,,"[85.8, 39.6]",265963,1,,,,1.7004988,,Right Foot,,,,"[83.1, 60.3]",,Ground Pass,,20.875345,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,6,Barcelona,217,"['4b59acc8-07a8-4910-b240-1020b774ef10', '737e2419-c060-4b62-9f9e-dd861f742b74']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.682,Pass,True,2014/2015
,,,,,,,,,,,,,,,0.8474,,,,,,,,,,,,,0370f1dc-3295-4364-a8a7-7eaf082af678,118,,"[82.9, 63.9]",265963,1,,,,-0.70102185,,Right Foot,,,,"[93.8, 54.7]",,Ground Pass,,14.26359,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['a1f17aac-dc3e-48c9-8b44-df27c8b2bfc8'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:01:58.784,Pass,,2014/2015
,,,,,,,,,,,,,,,0.794273,,,,,,,,,,,,,2bc7e0a4-f90c-40f6-a310-534cb8a78ece,123,,"[83.9, 57.7]",265963,2,,,,-2.4186132,,Left Foot,,,,"[75.4, 50.2]",,Ground Pass,,11.335784,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,"['00da4911-8627-41bc-ab8c-8bc6acf52064', '4cb0710f-c909-4bbb-8fdd-792d3f52a44f']",0,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.883,Pass,True,2014/2015
,,,,,,,,,,,,,,,1.690002,,,,,,,,,,,,,1174e2cb-3596-4289-9ce7-32a7038413dd,126,,"[75.4, 50.2]",265963,2,,,,-1.4508393,,Right Foot,,,,"[78.1, 27.8]",,Ground Pass,,22.562136,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['e364b411-9314-44c8-a791-70f0ef3b25a0'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.895,Pass,,2014/2015
,,,,,,,,,,,,,,,0.581999,,,,,,,,,,,,,ca3e62ac-6913-4d07-b87f-df2c274128ca,129,,"[89.9, 23.4]",265963,2,,,,0.5849996,,Left Foot,,,,"[97.6, 28.5]",,Ground Pass,,9.2358,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,"['79c30b2b-3f11-4fe6-8087-ef141522bcc1', '81c72b27-e485-4d85-9572-c2102d659af5']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:02:06.752,Pass,,2014/2015
