bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,83373bbf-c27c-42af-ae80-61d81e793016,1,,,,70223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20070, 'name': 'Luís Miguel Brito Garcia Monteiro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e01ce31f-320d-4210-ac4f-20485605a10e,2,,,,70223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,beb1c978-4e8c-45f8-a7c6-a9e59a2f7861,3,,,,70223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['c507ca03-2264-4c60-be1e-7bd352f5972c'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c507ca03-2264-4c60-be1e-7bd352f5972c,4,,,,70223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['beb1c978-4e8c-45f8-a7c6-a9e59a2f7861'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,399272d8-aba9-4b77-9802-23367efd573b,1832,,,,70223,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Barcelona,217,['423e4467-d885-4cbf-a1fa-eac7c0885a7a'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,423e4467-d885-4cbf-a1fa-eac7c0885a7a,1833,,,,70223,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Barcelona,217,['399272d8-aba9-4b77-9802-23367efd573b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.503206,,,,,,,,,,,,401c961a-587d-42d6-8d78-2da1374157fd,5,,,"[61.0, 41.0]",70223,0,,,,1.8086323,,Right Foot,,,,"[60.2, 44.3]",,Ground Pass,,3.3955853,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['0bf0913f-8f92-444c-bcb9-493fe8dff639'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.202,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.071404,,,,,,,,,,,,62887042-4268-43b2-a107-34229ffbac41,8,,,"[60.2, 44.7]",70223,0,,,,-3.0405862,,Left Foot,,,,"[45.4, 43.2]",,Ground Pass,,14.875819,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['877154f2-6868-4862-8392-5d27bf7ee0e9'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.021,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.13803,,,,,,,,,,,,98e57ffe-9cc9-4065-b9f1-6ca0313359d9,11,,,"[44.6, 45.1]",70223,0,,,,1.0569978,,Right Foot,,,,"[50.3, 55.2]",,Ground Pass,,11.597413,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,['e59369db-f51c-4cbf-b94d-6c59f19af9da'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.284,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.121619,,,,,,,,,,,,51d7baea-b280-4601-8bb2-28e6f27a31cf,14,,,"[44.4, 55.6]",70223,0,,,,-2.8139713,,Right Foot,,,,"[29.1, 50.4]",,Ground Pass,,16.159517,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Wing Back,2,Barcelona,217,['916857dc-4b5d-4b12-a98b-068ec0c9f35f'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.658,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.222004,,,,,,,,,,,,f2322d90-5571-4831-9714-2e52e3770069,17,,,"[28.0, 54.4]",70223,0,,,,1.3422997,,Right Foot,,,,"[32.0, 71.6]",,Ground Pass,,17.658993,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['fc00002c-9f8b-4bda-adfd-70c2fa880f5f'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.870,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.783791,,,,,,,,,,,,9471ea44-85d9-4ded-be7f-fd0b29f2f388,20,,,"[33.7, 71.0]",70223,0,,,,-1.7925773,,Right Foot,,,,"[29.1, 50.6]",,Ground Pass,,20.912197,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['9b2e6927-8643-4531-ab19-4e0a0b62aab2'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.820,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.214751,,,,,,,,,,,,ab7900d1-0bf1-470d-88f8-d52f9f8cf67b,23,,,"[29.1, 52.1]",70223,0,,,,1.2401174,,Left Foot,,,,"[36.0, 72.2]",,Ground Pass,,21.251352,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['75ebb958-9725-4e36-a290-aa64a5534091'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.231,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.224621,,,,,,,,,,,,77b6a13b-0fd5-4553-9022-34d3959a8e7d,26,,,"[32.2, 69.7]",70223,0,,,,-2.2915075,,Right Foot,,,,"[9.1, 43.4]",,Ground Pass,,35.004284,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['0fe63090-9b2a-4f01-b24c-673a546a4b1a'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.464,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.458742,,,,,,,,,,,,2d343bbb-56ef-4141-827f-35e9b3b0a5fd,30,,,"[3.6, 46.8]",70223,0,,,,1.1816375,,Right Foot,,,,"[15.0, 74.6]",,Ground Pass,,30.04663,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,"['06c0da28-050b-4394-8d14-16bbf97917a2', 'd4af59c2-9177-485a-bcfb-327fa61ec099']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.297,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.8776,,,,,,,,,,,,9493523f-52f1-4c80-8851-8daba1cc2796,34,,,"[17.5, 74.6]",70223,0,,,,0.049604665,,Right Foot,,,,"[45.7, 76.0]",,Ground Pass,,28.23473,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,"['78b43fd5-6856-4a4b-bdb5-8927eceef6d7', '907754e3-063e-4628-b04e-960da4ff45c4']",23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.877,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.798558,,,,,,,,,,,,fdb0649e-6fcf-42b6-91c1-f6f5ecd429fc,42,,,"[33.3, 71.6]",70223,0,,,,-0.8243395,,Right Foot,,,,"[44.4, 59.6]",,Ground Pass,,16.34656,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Attacking Midfield,2,Barcelona,217,['52eaad91-b326-4038-b627-bcb5a35d7921'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.817,Pass,,2011/2012
